2026-03-30 11:37:57.557 | ERROR    | signal_scanner.core.ibkr_connector:connect_ibkr:140 - All IBKR connection attempts failed. Verify TWS/Gateway is running, API is enabled, and socket port is one of 7497/7496/4002/4001. Scanner cannot operate without IBKR.
2026-03-30 11:37:57.557 | ERROR    | signal_scanner.core.bar_printer:_run_loop:90 - BarPrinter: IBKR connection failed — thread exiting
2026-03-30 11:38:08.964 | INFO     | signal_scanner.core.ibkr_connector:connect_ibkr:79 - Skipping IBKR reconnect attempt for 269s (backoff active)
2026-03-30 11:38:08.964 | WARNING  | signal_scanner.main:run_ibkr_heartbeat:459 - IBKR heartbeat reconnect failed; will retry
2026-03-30 11:38:38.957 | INFO     | signal_scanner.core.ibkr_connector:connect_ibkr:79 - Skipping IBKR reconnect attempt for 239s (backoff active)
2026-03-30 11:38:38.958 | WARNING  | signal_scanner.main:run_ibkr_heartbeat:459 - IBKR heartbeat reconnect failed; will retry
2026-03-30 11:38:49.413 | DEBUG    | signal_scanner.paper.vwap_mr_live:_get_qualifying_tickers:515 - VWAP_MR: 65 qualifying tickers (from 3112 in snapshot)
2026-03-30 11:38:49.659 | DEBUG    | signal_scanner.paper.fpb_live:_get_qualifying_tickers:491 - FPB: 219 qualifying tickers (from 3112 in snapshot)
2026-03-30 11:38:50.494 | DEBUG    | signal_scanner.paper.orb_v2_live:_get_qualifying_tickers:500 - ORB_V2: 219 qualifying tickers (from 3112 in snapshot)
2026-03-30 11:38:52.393 | INFO     | signal_scanner.core.strategy_engine:evaluate_all:236 - StrategyEngine cycle 1: 3.0s | VWAP_MR=0e/0eval/0.2s | FPB=0e/0eval/0.8s | ORB_V2=0e/0eval/1.9s
2026-03-30 11:39:08.962 | INFO     | signal_scanner.core.ibkr_connector:connect_ibkr:79 - Skipping IBKR reconnect attempt for 209s (backoff active)
2026-03-30 11:39:08.963 | WARNING  | signal_scanner.main:run_ibkr_heartbeat:459 - IBKR heartbeat reconnect failed; will retry
