2026-03-27 10:29:14.948 | INFO     | signal_scanner.core.bar_printer:run_cycle:219 - BarPrinter cycle 1: 0/244 tickers in 55.3s | 0ms/tick | capacity=0/min | new_bars=0 | stale=0
2026-03-27 10:29:19.575 | DEBUG    | signal_scanner.paper.vwap_mr_live:_get_qualifying_tickers:515 - VWAP_MR: 66 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:29:19.903 | DEBUG    | signal_scanner.paper.fpb_live:_get_qualifying_tickers:491 - FPB: 220 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:29:21.660 | DEBUG    | signal_scanner.paper.orb_v2_live:_get_qualifying_tickers:500 - ORB_V2: 220 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:29:24.045 | INFO     | signal_scanner.core.strategy_engine:evaluate_all:236 - StrategyEngine cycle 1: 4.5s | VWAP_MR=0e/0eval/0.3s | FPB=0e/0eval/1.8s | ORB_V2=0e/0eval/2.4s
2026-03-27 10:30:10.701 | DEBUG    | signal_scanner.core.ibkr_connector:_qualify_stock_contract:251 - IBKR could not qualify stock contract for BBK (tried=['BBK'])
2026-03-27 10:30:10.761 | DEBUG    | signal_scanner.core.ibkr_connector:_qualify_stock_contract:251 - IBKR could not qualify stock contract for IBTX (tried=['IBTX'])
2026-03-27 10:30:13.090 | DEBUG    | signal_scanner.core.ibkr_connector:_qualify_stock_contract:251 - IBKR could not qualify stock contract for NUAN (tried=['NUAN'])
2026-03-27 10:30:14.872 | INFO     | signal_scanner.core.bar_printer:run_cycle:219 - BarPrinter cycle 2: 0/244 tickers in 55.2s | 0ms/tick | capacity=0/min | new_bars=0 | stale=0
2026-03-27 10:30:19.572 | DEBUG    | signal_scanner.paper.vwap_mr_live:_get_qualifying_tickers:515 - VWAP_MR: 66 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:30:20.538 | DEBUG    | signal_scanner.paper.fpb_live:_get_qualifying_tickers:491 - FPB: 220 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:30:23.191 | DEBUG    | signal_scanner.paper.orb_v2_live:_get_qualifying_tickers:500 - ORB_V2: 220 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:30:25.505 | INFO     | signal_scanner.core.strategy_engine:evaluate_all:236 - StrategyEngine cycle 2: 5.9s | VWAP_MR=0e/0eval/1.0s | FPB=0e/0eval/2.7s | ORB_V2=0e/0eval/2.3s
2026-03-27 10:30:44.063 | DEBUG    | signal_scanner.core.ibkr_connector:_qualify_stock_contract:251 - IBKR could not qualify stock contract for ATVI (tried=['ATVI'])
2026-03-27 10:30:47.376 | DEBUG    | signal_scanner.core.ibkr_connector:_qualify_stock_contract:251 - IBKR could not qualify stock contract for CDXC (tried=['CDXC'])
2026-03-27 10:30:47.438 | DEBUG    | signal_scanner.core.ibkr_connector:_qualify_stock_contract:251 - IBKR could not qualify stock contract for GES (tried=['GES'])
2026-03-27 10:30:51.513 | DEBUG    | signal_scanner.core.ibkr_connector:_qualify_stock_contract:251 - IBKR could not qualify stock contract for BSIG (tried=['BSIG'])
2026-03-27 10:31:06.871 | DEBUG    | signal_scanner.core.ibkr_connector:_qualify_stock_contract:251 - IBKR could not qualify stock contract for SYTE (tried=['SYTE'])
2026-03-27 10:31:11.013 | INFO     | signal_scanner.core.bar_printer:run_cycle:219 - BarPrinter cycle 3: 0/244 tickers in 51.3s | 0ms/tick | capacity=0/min | new_bars=0 | stale=0
2026-03-27 10:31:19.560 | DEBUG    | signal_scanner.paper.vwap_mr_live:_get_qualifying_tickers:515 - VWAP_MR: 66 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:31:19.788 | DEBUG    | signal_scanner.paper.fpb_live:_get_qualifying_tickers:491 - FPB: 220 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:31:20.584 | DEBUG    | signal_scanner.paper.orb_v2_live:_get_qualifying_tickers:500 - ORB_V2: 220 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:31:21.582 | INFO     | signal_scanner.core.strategy_engine:evaluate_all:236 - StrategyEngine cycle 3: 2.0s | VWAP_MR=0e/0eval/0.2s | FPB=0e/0eval/0.8s | ORB_V2=0e/0eval/1.0s
2026-03-27 10:31:44.372 | INFO     | signal_scanner.core.bar_printer:run_cycle:219 - BarPrinter cycle 4: 0/244 tickers in 24.7s | 0ms/tick | capacity=0/min | new_bars=0 | stale=0
2026-03-27 10:32:19.569 | DEBUG    | signal_scanner.paper.vwap_mr_live:_get_qualifying_tickers:515 - VWAP_MR: 66 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:32:19.807 | DEBUG    | signal_scanner.paper.fpb_live:_get_qualifying_tickers:491 - FPB: 220 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:32:20.800 | DEBUG    | signal_scanner.paper.orb_v2_live:_get_qualifying_tickers:500 - ORB_V2: 220 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:32:21.776 | INFO     | signal_scanner.core.strategy_engine:evaluate_all:236 - StrategyEngine cycle 4: 2.2s | VWAP_MR=0e/0eval/0.2s | FPB=0e/0eval/1.0s | ORB_V2=0e/0eval/1.0s
2026-03-27 10:32:45.567 | INFO     | signal_scanner.core.bar_printer:run_cycle:219 - BarPrinter cycle 5: 0/244 tickers in 25.9s | 0ms/tick | capacity=0/min | new_bars=0 | stale=0
2026-03-27 10:33:19.580 | DEBUG    | signal_scanner.paper.vwap_mr_live:_get_qualifying_tickers:515 - VWAP_MR: 66 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:33:20.658 | DEBUG    | signal_scanner.paper.fpb_live:_get_qualifying_tickers:491 - FPB: 220 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:33:24.338 | DEBUG    | signal_scanner.paper.orb_v2_live:_get_qualifying_tickers:500 - ORB_V2: 220 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:33:26.160 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - ORB_V2 NEE: name 'open_930' is not defined
2026-03-27 10:33:27.574 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - ORB_V2 XOM: name 'open_930' is not defined
2026-03-27 10:33:28.490 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - ORB_V2 STX: name 'open_930' is not defined
2026-03-27 10:33:28.737 | INFO     | signal_scanner.core.strategy_engine:evaluate_all:236 - StrategyEngine cycle 5: 9.1s | VWAP_MR=0e/0eval/1.1s | FPB=0e/1eval/3.7s | ORB_V2=0e/16eval/4.4s
2026-03-27 10:33:28.849 | INFO     | signal_scanner.paper.context_momentum_live:scan_universe:196 - CONTEXT_MOMENTUM WELL: CONTEXT_MOMENTUM | RS=+0.011vsSPY | VolP=65(BUY_PRESSURE) | VWAP=+1.6σ(NORMAL) | Conv=75 Phase=EARLY_ACCUM | entry=$196.79 stop=$196.67
2026-03-27 10:33:29.127 | INFO     | signal_scanner.paper.context_momentum_live:scan_universe:196 - CONTEXT_MOMENTUM VRT: CONTEXT_MOMENTUM | RS=+0.012vsSPY | VolP=62(BUY_PRESSURE) | VWAP=+0.5σ(NORMAL) | Conv=73 Phase=EARLY_ACCUM | entry=$254.16 stop=$253.20
2026-03-27 10:33:29.623 | INFO     | signal_scanner.paper.context_momentum_live:scan_universe:196 - CONTEXT_MOMENTUM NEE: CONTEXT_MOMENTUM | RS=+0.009vsSPY | VolP=64(BUY_PRESSURE) | VWAP=+1.9σ(NORMAL) | Conv=72 Phase=EARLY_ACCUM | entry=$91.96 stop=$91.82
2026-03-27 10:33:30.312 | INFO     | signal_scanner.paper.context_momentum_live:scan_universe:196 - CONTEXT_MOMENTUM JCI: CONTEXT_MOMENTUM | RS=+0.010vsSPY | VolP=60(BUY_PRESSURE) | VWAP=+1.3σ(NORMAL) | Conv=71 Phase=EARLY_ACCUM | entry=$133.14 stop=$132.87
2026-03-27 10:33:30.602 | WARNING  | signal_scanner.paper.idea_ledger:transition:280 - IdeaLedger: invalid transition IdeaState.NEW→IdeaState.ENTERED for idea 450
2026-03-27 10:33:30.620 | INFO     | signal_scanner.core.execution_consumer:process_pending:169 - ExecutionConsumer: CONTEXT_MOMENTUM WELL → trade #1831 @ $196.79 (SIM) idea=#450
2026-03-27 10:33:30.641 | WARNING  | signal_scanner.paper.idea_ledger:transition:280 - IdeaLedger: invalid transition IdeaState.NEW→IdeaState.ENTERED for idea 451
2026-03-27 10:33:30.656 | INFO     | signal_scanner.core.execution_consumer:process_pending:169 - ExecutionConsumer: CONTEXT_MOMENTUM VRT → trade #1832 @ $254.16 (SIM) idea=#451
2026-03-27 10:33:30.674 | WARNING  | signal_scanner.paper.idea_ledger:transition:280 - IdeaLedger: invalid transition IdeaState.NEW→IdeaState.ENTERED for idea 452
2026-03-27 10:33:30.691 | INFO     | signal_scanner.core.execution_consumer:process_pending:169 - ExecutionConsumer: CONTEXT_MOMENTUM NEE → trade #1833 @ $91.96 (SIM) idea=#452
2026-03-27 10:33:30.708 | WARNING  | signal_scanner.paper.idea_ledger:transition:280 - IdeaLedger: invalid transition IdeaState.NEW→IdeaState.ENTERED for idea 453
2026-03-27 10:33:30.737 | INFO     | signal_scanner.core.execution_consumer:process_pending:169 - ExecutionConsumer: CONTEXT_MOMENTUM JCI → trade #1834 @ $133.14 (SIM) idea=#453
2026-03-27 10:33:30.741 | INFO     | signal_scanner.core.execution_consumer:process_pending:183 - ExecutionConsumer: 4 pending → 4 executed, 0 failed
2026-03-27 10:33:59.507 | INFO     | signal_scanner.core.bar_printer:run_cycle:219 - BarPrinter cycle 6: 232/244 tickers in 39.8s | 172ms/tick | capacity=349/min | new_bars=14847 | stale=0
2026-03-27 10:34:19.575 | DEBUG    | signal_scanner.paper.vwap_mr_live:_get_qualifying_tickers:515 - VWAP_MR: 66 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:34:21.426 | DEBUG    | signal_scanner.paper.fpb_live:_get_qualifying_tickers:491 - FPB: 220 qualifying tickers (from 3112 in snapshot)
2026-03-27 10:34:21.445 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB AAPL: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:21.469 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB ABBV: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:21.536 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB ADEA: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:21.789 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB ANET: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:21.813 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB APH: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.016 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB BRK.A: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.062 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB C: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.125 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB CAT: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.197 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB CL: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.224 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB CMI: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.275 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB COST: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.345 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB CSX: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.416 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB CVX: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.527 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB ECL: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.587 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB EMR: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.608 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB ETN: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.637 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB FCX: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.708 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB FISI: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.761 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB GILD: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.782 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB GIS: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.893 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB INTC: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:22.975 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB JCI: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.000 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB JNJ: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.040 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB KHC: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.059 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB KLAC: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.082 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB KO: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.107 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB LH: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.128 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB LHX: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.530 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB MMM: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.557 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB MO: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.584 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB MPC: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.609 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB MPWR: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.751 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB MU: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.780 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB NEE: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.807 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB NEM: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.834 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB NFG: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.894 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB NOC: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:23.971 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB OKE: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.105 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB OTIS: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.166 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB PEP: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.219 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB PH: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.281 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB PM: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.383 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB PWR: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.511 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB SHW: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.536 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB SLB: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.608 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB SRE: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.699 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB T: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.787 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB TEL: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.833 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB TGT: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.882 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB TRGP: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.942 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB TT: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:24.971 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB UNP: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:25.012 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB URI: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:25.084 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB VLO: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:25.106 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB VRT: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:25.149 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB VST: unsupported format string passed to NoneType.__format__
2026-03-27 10:34:25.233 | DEBUG    | signal_scanner.core.strategy_engine:evaluate_all:200 - FPB WMB: unsupported format string passed to NoneType.__format__
