symbol,is_russell3000,is_russell1000,is_russell2000,is_sp500,is_nasdaq100,is_custom
AOUT,0,0,1,0,0,0
APA,1,1,0,0,0,0
APAM,1,0,1,0,0,0
APD,1,1,0,0,0,0
APEI,1,0,1,0,0,0
APG,1,1,0,0,0,0
APGE,1,0,1,0,0,0
APH,1,1,0,0,0,0
APLD,1,0,1,0,0,0
APLE,1,0,1,0,0,0
APLS,1,1,0,0,0,0
APO,1,1,0,0,0,0
APOG,1,0,1,0,0,0
APP,1,1,0,0,0,0
APPF,1,1,0,0,0,0
APPN,1,0,1,0,0,0
APPS,1,0,1,0,0,0
APTV,1,1,0,0,0,0
AQST,1,0,1,0,0,0
AR,1,1,0,0,0,0
ARAY,1,0,1,0,0,0
ARCB,1,0,1,0,0,0
ARCT,1,0,1,0,0,0
ARDT,0,0,1,0,0,0
ARDX,1,0,1,0,0,0
ARE,1,1,0,0,0,0
AREN,0,0,1,0,0,0
ARES,1,1,0,0,0,0
ARHS,1,0,1,0,0,0
ARI,1,0,1,0,0,0
ARKO,1,0,1,0,0,0
ARL,0,0,1,0,0,0
ARLO,1,0,1,0,0,0
ARMK,1,1,0,0,0,0
AROC,1,0,1,0,0,0
AROW,1,0,1,0,0,0
ARQ,0,0,1,0,0,0
ARQT,1,0,1,0,0,0
ARR,1,0,1,0,0,0
ARRY,1,0,1,0,0,0
ARVN,1,0,1,0,0,0
ARW,1,1,0,0,0,0
ARWR,1,0,1,0,0,0
AS,1,1,0,0,0,0
ASAN,1,0,1,0,0,0
ASB,1,0,1,0,0,0
ASC,1,0,1,0,0,0
ASGN,1,0,1,0,0,0
ASH,1,1,0,0,0,0
ASIC,0,0,1,0,0,0
ASIX,1,0,1,0,0,0
ASLE,1,0,1,0,0,0
ASO,1,0,1,0,0,0
ASPI,1,0,1,0,0,0
ASPN,1,0,1,0,0,0
ASST,0,0,1,0,0,0
ASTE,1,0,1,0,0,0
ASTH,1,0,1,0,0,0
ASTS,1,1,0,0,0,0
ASUR,1,0,1,0,0,0
ATEC,1,0,1,0,0,0
ATEN,1,0,1,0,0,0
ATEX,1,0,1,0,0,0
ATGE,1,0,1,0,0,0
ATI,1,1,0,0,0,0
ATKR,1,0,1,0,0,0
ATLC,0,0,1,0,0,0
ATLO,0,0,1,0,0,0
ATMU,1,0,1,0,0,0
ATNI,1,0,1,0,0,0
ATO,1,1,0,0,0,0
ATOM,0,0,1,0,0,0
ATR,1,1,0,0,0,0
ATRC,1,0,1,0,0,0
ATRO,1,0,1,0,0,0
ATYR,1,0,1,0,0,0
AU,1,1,0,0,0,0
AUB,1,0,1,0,0,0
AUPH,1,0,1,0,0,0
AUR,1,1,0,0,0,0
AURA,1,0,1,0,0,0
AVA,1,0,1,0,0,0
AVAH,1,0,1,0,0,0
AVAV,1,0,1,0,0,0
AVB,1,1,0,0,0,0
AVBH,0,0,1,0,0,0
AVBP,1,0,1,0,0,0
AVD,1,0,1,0,0,0
AVGO,1,1,0,1,1,0
AVIR,1,0,1,0,0,0
AVNS,1,0,1,0,0,0
AVNT,1,0,1,0,0,0
AVNW,1,0,1,0,0,0
AVO,1,0,1,0,0,0
AVPT,1,0,1,0,0,0
AVR,0,0,1,0,0,0
AVT,1,1,0,0,0,0
AVTR,1,1,0,0,0,0
AVXL,1,0,1,0,0,0
AVY,1,1,0,0,0,0
AWI,1,1,0,0,0,0
AWK,1,1,0,0,0,0
AWR,1,0,1,0,0,0
AX,1,0,1,0,0,0
AXGN,1,0,1,0,0,0
AXON,1,1,0,0,0,0
AXP,1,1,0,1,0,0
AXS,1,1,0,0,0,0
AXSM,1,0,1,0,0,0
AXTA,1,1,0,0,0,0
AYI,1,1,0,0,0,0
AZO,1,1,0,0,0,0
AZTA,1,0,1,0,0,0
AZZ,1,0,1,0,0,0
BA,1,1,0,1,0,0
BAC,1,1,0,1,0,0
BAH,1,1,0,0,0,0
BALL,1,1,0,0,0,0
BALY,0,0,1,0,0,0
BAM,1,1,0,0,0,0
BANC,1,0,1,0,0,0
BAND,1,0,1,0,0,0
BANF,1,0,1,0,0,0
BANR,1,0,1,0,0,0
BARK,0,0,1,0,0,0
BATRA,1,0,1,0,0,0
BATRK,1,0,1,0,0,0
BAX,1,1,0,0,0,0
BBAI,1,0,1,0,0,0
BBBY,1,0,1,0,0,0
BBCP,0,0,1,0,0,0
BBIO,1,0,1,0,0,0
BBNX,1,0,1,0,0,0
BBSI,1,0,1,0,0,0
BBT,1,0,1,0,0,0
BBUC,1,0,1,0,0,0
BBW,1,0,1,0,0,0
BBWI,1,1,0,0,0,0
BBY,1,1,0,0,0,0
BC,1,1,0,0,0,0
BCAL,1,0,1,0,0,0
BCAX,1,0,1,0,0,0
BCBP,1,0,1,0,0,0
BCC,1,0,1,0,0,0
BCML,1,0,1,0,0,0
BCO,1,0,1,0,0,0
BCPC,1,0,1,0,0,0
BCRX,1,0,1,0,0,0
BDC,1,0,1,0,0,0
BDN,1,0,1,0,0,0
BDX,1,1,0,0,0,0
BE,1,0,1,0,0,0
BEAM,1,0,1,0,0,0
BEEP,0,0,1,0,0,0
BELFA,0,0,1,0,0,0
BELFB,1,0,1,0,0,0
BEN,1,1,0,0,0,0
BEPC,1,1,0,0,0,0
BETR,1,0,1,0,0,0
BF.B,1,1,0,0,0,0
BFA,1,1,0,0,0,0
BFAM,1,1,0,0,0,0
BFC,1,0,1,0,0,0
BFH,1,0,1,0,0,0
BFLY,1,0,1,0,0,0
BFS,1,0,1,0,0,0
BFST,1,0,1,0,0,0
BG,1,1,0,0,0,0
BGC,1,0,1,0,0,0
BGS,1,0,1,0,0,0
BH,0,0,1,0,0,0
BHB,1,0,1,0,0,0
BHE,1,0,1,0,0,0
BHF,1,1,0,0,0,0
BHR,1,0,1,0,0,0
BHRB,1,0,1,0,0,0
BHVN,1,0,1,0,0,0
BIIB,1,1,0,0,1,0
BILL,1,1,0,0,0,0
BIO,1,1,0,0,0,0
BIOA,0,0,1,0,0,0
BIPC,1,0,1,0,0,0
BIRK,1,1,0,0,0,0
BJ,1,1,0,0,0,0
BJRI,1,0,1,0,0,0
BK,1,1,0,0,0,0
BKD,1,0,1,0,0,0
BKE,1,0,1,0,0,0
BKH,1,0,1,0,0,0
BKKT,0,0,1,0,0,0
BKNG,1,1,0,1,1,0
BKR,1,1,0,0,1,0
BKSY,1,0,1,0,0,0
BKTI,0,0,1,0,0,0
BKU,1,0,1,0,0,0
BKV,1,0,1,0,0,0
BL,1,0,1,0,0,0
BLBD,1,0,1,0,0,0
BLD,1,1,0,0,0,0
BLDR,1,1,0,0,0,0
BLFS,1,0,1,0,0,0
BLFY,1,0,1,0,0,0
BLK,1,1,0,1,0,0
BLKB,1,0,1,0,0,0
BLMN,1,0,1,0,0,0
BLND,1,0,1,0,0,0
BLSH,1,1,0,0,0,0
BLX,1,0,1,0,0,0
BLZE,0,0,1,0,0,0
BMBL,1,0,1,0,0,0
BMI,1,0,1,0,0,0
BMRC,1,0,1,0,0,0
BMRN,1,1,0,0,0,0
BMY,1,1,0,1,0,0
BNED,0,0,1,0,0,0
BNL,1,0,1,0,0,0
BNTC,0,0,1,0,0,0
BOC,1,0,1,0,0,0
BOH,1,0,1,0,0,0
BOKF,1,1,0,0,0,0
BOOM,1,0,1,0,0,0
BOOT,1,0,1,0,0,0
BORR,1,0,1,0,0,0
BOW,1,0,1,0,0,0
BOX,1,0,1,0,0,0
BPOP,1,1,0,0,0,0
BPRN,0,0,1,0,0,0
BR,1,1,0,0,0,0
BRBR,1,1,0,0,0,0
BRBS,0,0,1,0,0,0
BRCB,0,0,1,0,0,0
BRCC,1,0,1,0,0,0
BRK.B,1,1,0,1,0,0
BRKR,1,1,0,0,0,0
BRO,1,1,0,0,0,0
BROS,1,1,0,0,0,0
BRSL,1,0,1,0,0,0
BRSP,1,0,1,0,0,0
BRT,0,0,1,0,0,0
BRX,1,1,0,0,0,0
BRZE,1,0,1,0,0,0
BSET,0,0,1,0,0,0
BSRR,1,0,1,0,0,0
BSVN,0,0,1,0,0,0
BSX,1,1,0,1,0,0
BSY,1,1,0,0,0,0
BTBT,1,0,1,0,0,0
BTDR,1,0,1,0,0,0
BTMD,0,0,1,0,0,0
BTSG,1,0,1,0,0,0
BTU,1,0,1,0,0,0
BULL,1,0,1,0,0,0
BUR,1,0,1,0,0,0
BURL,1,1,0,0,0,0
BUSE,1,0,1,0,0,0
BV,1,0,1,0,0,0
BVFL,0,0,1,0,0,0
BVS,1,0,1,0,0,0
BWA,1,1,0,0,0,0
BWB,1,0,1,0,0,0
BWFG,0,0,1,0,0,0
BWIN,1,0,1,0,0,0
BWMN,1,0,1,0,0,0
BWXT,1,1,0,0,0,0
BX,1,1,0,0,0,0
BXC,1,0,1,0,0,0
BXMT,1,0,1,0,0,0
BXP,1,1,0,0,0,0
BY,1,0,1,0,0,0
BYD,1,1,0,0,0,0
BYND,1,0,1,0,0,0
BYRN,1,0,1,0,0,0
BZAI,0,0,1,0,0,0
BZH,1,0,1,0,0,0
C,1,1,0,0,0,0
CABO,1,0,1,0,0,0
CAC,1,0,1,0,0,0
CACC,1,1,0,0,0,0
CACI,1,1,0,0,0,0
CADL,0,0,1,0,0,0
CAG,1,1,0,0,0,0
CAH,1,1,0,0,0,0
CAI,1,1,0,0,0,0
CAKE,1,0,1,0,0,0
CAL,1,0,1,0,0,0
CALM,1,0,1,0,0,0
CALX,1,0,1,0,0,0
CALY,1,0,1,0,0,0
CAPR,1,0,1,0,0,0
CAR,1,1,0,0,0,0
CARE,1,0,1,0,0,0
CARG,1,0,1,0,0,0
CARL,0,0,1,0,0,0
CARR,1,1,0,0,0,0
CARS,1,0,1,0,0,0
CART,1,1,0,0,0,0
CASH,1,0,1,0,0,0
CASS,1,0,1,0,0,0
CASY,1,1,0,0,0,0
CAT,1,1,0,1,0,0
CATX,1,0,1,0,0,0
CATY,1,0,1,0,0,0
CAVA,1,1,0,0,0,0
CB,1,1,0,1,0,0
CBAN,1,0,1,0,0,0
CBFV,0,0,1,0,0,0
CBK,0,0,1,0,0,0
CBL,1,0,1,0,0,0
CBLL,1,0,1,0,0,0
CBNA,0,0,1,0,0,0
CBNK,0,0,1,0,0,0
CBOE,1,1,0,0,0,0
CBRE,1,1,0,0,0,0
CBRL,1,0,1,0,0,0
CBSH,1,1,0,0,0,0
CBT,1,0,1,0,0,0
CBU,1,0,1,0,0,0
CBZ,1,0,1,0,0,0
CC,1,0,1,0,0,0
CCB,1,0,1,0,0,0
CCBG,1,0,1,0,0,0
CCC,1,1,0,0,0,0
CCI,1,1,0,0,0,0
CCK,1,1,0,0,0,0
CCL,1,1,0,0,0,0
CCNE,1,0,1,0,0,0
CCOI,1,0,1,0,0,0
CCRN,1,0,1,0,0,0
CCS,1,0,1,0,0,0
CCSI,1,0,1,0,0,0
CD,0,0,1,0,0,0
CDE,1,0,1,0,0,0
CDNA,1,0,1,0,0,0
CDNS,1,1,0,1,1,0
CDP,1,0,1,0,0,0
CDRE,1,0,1,0,0,0
CDW,1,1,0,0,1,0
CDXS,1,0,1,0,0,0
CDZI,0,0,1,0,0,0
CE,1,1,0,0,0,0
CECO,1,0,1,0,0,0
CEG,1,1,0,0,1,0
CELC,1,0,1,0,0,0
CELH,1,1,0,0,0,0
CENT,1,0,1,0,0,0
CENTA,1,0,1,0,0,0
CENX,1,0,1,0,0,0
CERS,1,0,1,0,0,0
CERT,1,1,0,0,0,0
CEVA,1,0,1,0,0,0
CF,1,1,0,0,0,0
CFBK,0,0,1,0,0,0
CFFI,0,0,1,0,0,0
CFFN,1,0,1,0,0,0
CFG,1,1,0,0,0,0
CFLT,1,1,0,0,0,0
CFR,1,1,0,0,0,0
CG,1,1,0,0,0,0
CGEM,1,0,1,0,0,0
CGNX,1,1,0,0,0,0
CGON,1,0,1,0,0,0
CHCO,1,0,1,0,0,0
CHCT,1,0,1,0,0,0
CHD,1,1,0,0,0,0
CHDN,1,1,0,0,0,0
CHE,1,1,0,0,0,0
CHEF,1,0,1,0,0,0
CHH,1,1,0,0,0,0
CHMG,0,0,1,0,0,0
CHRD,1,1,0,0,0,0
CHRS,1,0,1,0,0,0
CHRW,1,1,0,0,0,0
CHTR,1,1,0,0,0,0
CHWY,1,1,0,0,0,0
CI,1,1,0,0,0,0
CIA,0,0,1,0,0,0
CIEN,1,1,0,0,0,0
CIFR,1,0,1,0,0,0
CIM,1,0,1,0,0,0
CINF,1,1,0,0,0,0
CIVB,1,0,1,0,0,0
CIX,0,0,1,0,0,0
CL,1,1,0,1,0,0
CLAR,0,0,1,0,0,0
CLB,1,0,1,0,0,0
CLBK,1,0,1,0,0,0
CLDT,1,0,1,0,0,0
CLDX,1,0,1,0,0,0
CLF,1,1,0,0,0,0
CLFD,1,0,1,0,0,0
CLH,1,1,0,0,0,0
CLMB,1,0,1,0,0,0
CLMT,1,0,1,0,0,0
CLNE,1,0,1,0,0,0
CLOV,1,0,1,0,0,0
CLPR,0,0,1,0,0,0
CLPT,1,0,1,0,0,0
CLSK,1,0,1,0,0,0
CLVT,1,1,0,0,0,0
CLW,1,0,1,0,0,0
CLX,1,1,0,0,0,0
CMC,1,0,1,0,0,0
CMCL,1,0,1,0,0,0
CMCO,1,0,1,0,0,0
CMCSA,1,1,0,1,1,0
CMDB,1,0,1,0,0,0
CME,1,1,0,1,0,0
