symbol,is_russell3000,is_russell1000,is_russell2000,is_sp500,is_nasdaq100,is_custom
DX,1,0,1,0,0,0
DXC,1,1,0,0,0,0
DXCM,1,1,0,0,1,0
DXPE,1,0,1,0,0,0
DY,1,0,1,0,0,0
DYN,1,0,1,0,0,0
EA,1,1,0,0,1,0
EAT,1,0,1,0,0,0
EB,1,0,1,0,0,0
EBAY,1,1,0,0,1,0
EBC,1,0,1,0,0,0
EBF,1,0,1,0,0,0
EBMT,0,0,1,0,0,0
EBS,1,0,1,0,0,0
ECBK,0,0,1,0,0,0
ECG,1,1,0,0,0,0
ECL,1,1,0,0,0,0
ECPG,1,0,1,0,0,0
ECVT,1,0,1,0,0,0
ED,1,1,0,0,0,0
EDIT,1,0,1,0,0,0
EE,1,0,1,0,0,0
EEFT,1,1,0,0,0,0
EEX,0,0,1,0,0,0
EFC,1,0,1,0,0,0
EFSC,1,0,1,0,0,0
EFSI,0,0,1,0,0,0
EFX,1,1,0,0,0,0
EG,1,1,0,0,0,0
EGAN,0,0,1,0,0,0
EGBN,1,0,1,0,0,0
EGHT,1,0,1,0,0,0
EGP,1,1,0,0,0,0
EGY,1,0,1,0,0,0
EHAB,1,0,1,0,0,0
EHC,1,1,0,0,0,0
EHTH,0,0,1,0,0,0
EIG,1,0,1,0,0,0
EIX,1,1,0,0,0,0
EL,1,1,0,0,0,0
ELA,0,0,1,0,0,0
ELAN,1,1,0,0,0,0
ELDN,0,0,1,0,0,0
ELF,1,1,0,0,0,0
ELMD,0,0,1,0,0,0
ELS,1,1,0,0,0,0
ELV,1,1,0,0,0,0
ELVN,1,0,1,0,0,0
EMBC,1,0,1,0,0,0
EME,1,1,0,0,0,0
EML,0,0,1,0,0,0
EMN,1,1,0,0,0,0
EMR,1,1,0,0,0,0
ENOV,1,0,1,0,0,0
ENPH,1,1,0,0,1,0
ENR,1,0,1,0,0,0
ENS,1,0,1,0,0,0
ENSG,1,0,1,0,0,0
ENTA,1,0,1,0,0,0
ENTG,1,1,0,0,0,0
ENVA,1,0,1,0,0,0
ENVX,1,0,1,0,0,0
EOG,1,1,0,1,0,0
EOLS,1,0,1,0,0,0
EOSE,1,0,1,0,0,0
EP,0,0,1,0,0,0
EPAC,1,0,1,0,0,0
EPAM,1,1,0,0,0,0
EPC,1,0,1,0,0,0
EPM,1,0,1,0,0,0
EPR,1,1,0,0,0,0
EPRT,1,0,1,0,0,0
EPSN,0,0,1,0,0,0
EQBK,1,0,1,0,0,0
EQH,1,1,0,0,0,0
EQIX,1,1,0,0,0,0
EQR,1,1,0,0,0,0
EQT,1,1,0,0,0,0
ERAS,1,0,1,0,0,0
ERII,1,0,1,0,0,0
ES,1,1,0,0,0,0
ESAB,1,1,0,0,0,0
ESCA,0,0,1,0,0,0
ESE,1,0,1,0,0,0
ESI,1,1,0,0,0,0
ESNT,1,0,1,0,0,0
ESOA,0,0,1,0,0,0
ESPR,1,0,1,0,0,0
ESQ,1,0,1,0,0,0
ESRT,1,0,1,0,0,0
ESS,1,1,0,0,0,0
ESTC,1,1,0,0,0,0
ETD,1,0,1,0,0,0
ETN,1,1,0,0,0,0
ETON,0,0,1,0,0,0
ETR,1,1,0,0,0,0
ETSY,1,1,0,0,0,0
EU,1,0,1,0,0,0
EVC,1,0,1,0,0,0
EVCM,1,0,1,0,0,0
EVER,1,0,1,0,0,0
EVEX,0,0,1,0,0,0
EVGO,1,0,1,0,0,0
EVH,1,0,1,0,0,0
EVI,0,0,1,0,0,0
EVLV,1,0,1,0,0,0
EVR,1,1,0,0,0,0
EVRG,1,1,0,0,0,0
EVTC,1,0,1,0,0,0
EW,1,1,0,0,0,0
EWBC,1,1,0,0,0,0
EWCZ,1,0,1,0,0,0
EWTX,1,0,1,0,0,0
EXAS,1,1,0,0,0,0
EXC,1,1,0,0,1,0
EXE,1,1,0,0,0,0
EXEL,1,1,0,0,0,0
EXFY,0,0,1,0,0,0
EXLS,1,1,0,0,0,0
EXP,1,1,0,0,0,0
EXPD,1,1,0,0,0,0
EXPE,1,1,0,0,0,0
EXPI,1,0,1,0,0,0
EXPO,1,0,1,0,0,0
EXR,1,1,0,0,0,0
EXTR,1,0,1,0,0,0
EYE,1,0,1,0,0,0
EYPT,1,0,1,0,0,0
F,1,1,0,0,0,0
FA,1,0,1,0,0,0
FAF,1,1,0,0,0,0
FANG,1,1,0,0,1,0
FAST,1,1,0,0,1,0
FATE,1,0,1,0,0,0
FBIN,1,1,0,0,0,0
FBIZ,1,0,1,0,0,0
FBK,1,0,1,0,0,0
FBLA,0,0,1,0,0,0
FBNC,1,0,1,0,0,0
FBP,1,0,1,0,0,0
FBRT,1,0,1,0,0,0
FBYD,0,0,1,0,0,0
FC,1,0,1,0,0,0
FCAP,0,0,1,0,0,0
FCBC,1,0,1,0,0,0
FCCO,0,0,1,0,0,0
FCF,1,0,1,0,0,0
FCFS,1,0,1,0,0,0
FCN,1,1,0,0,0,0
FCNCA,1,1,0,0,0,0
FCPT,1,0,1,0,0,0
FCX,1,1,0,1,0,0
FDBC,1,0,1,0,0,0
FDMT,1,0,1,0,0,0
FDP,1,0,1,0,0,0
FDS,1,1,0,0,0,0
FDX,1,1,0,0,0,0
FE,1,1,0,0,0,0
FEIM,0,0,1,0,0,0
FELE,1,0,1,0,0,0
FENC,0,0,1,0,0,0
FERG,1,1,0,0,0,0
FET,0,0,1,0,0,0
FF,0,0,1,0,0,0
FFAI,0,0,1,0,0,0
FFBC,1,0,1,0,0,0
FFIC,1,0,1,0,0,0
FFIN,1,0,1,0,0,0
FFIV,1,1,0,0,0,0
FFWM,1,0,1,0,0,0
FG,1,0,1,0,0,0
FHB,1,1,0,0,0,0
FHN,1,1,0,0,0,0
FHTX,0,0,1,0,0,0
FIBK,1,0,1,0,0,0
FICO,1,1,0,0,0,0
FIGR,1,1,0,0,0,0
FIGS,1,0,1,0,0,0
FIHL,1,0,1,0,0,0
FINW,0,0,1,0,0,0
FIP,1,0,1,0,0,0
FIS,1,1,0,0,0,0
FISI,1,0,1,0,0,0
FISV,1,1,0,0,0,0
FITB,1,1,0,0,0,0
FIVE,1,1,0,0,0,0
FIVN,1,0,1,0,0,0
FIX,1,1,0,0,0,0
FIZZ,1,0,1,0,0,0
FLEX,1,1,0,0,0,0
FLG,1,0,1,0,0,0
FLGT,1,0,1,0,0,0
FLNC,1,0,1,0,0,0
FLNG,1,0,1,0,0,0
FLO,1,1,0,0,0,0
FLOC,0,0,1,0,0,0
FLR,1,0,1,0,0,0
FLS,1,1,0,0,0,0
FLUT,1,1,0,0,0,0
FLWS,1,0,1,0,0,0
FLXS,0,0,1,0,0,0
FLY,1,0,1,0,0,0
FLYW,1,0,1,0,0,0
FMAO,1,0,1,0,0,0
FMBH,1,0,1,0,0,0
FMC,1,1,0,0,0,0
FMNB,1,0,1,0,0,0
FN,1,0,1,0,0,0
FNB,1,1,0,0,0,0
FND,1,1,0,0,0,0
FNF,1,1,0,0,0,0
FNKO,1,0,1,0,0,0
FNLC,1,0,1,0,0,0
FNWD,0,0,1,0,0,0
FOA,0,0,1,0,0,0
FOLD,1,0,1,0,0,0
FOR,1,0,1,0,0,0
FORM,1,0,1,0,0,0
FORR,1,0,1,0,0,0
FOUR,1,1,0,0,0,0
FOX,1,1,0,0,0,0
FOXA,1,1,0,0,0,0
FOXF,1,0,1,0,0,0
FPI,1,0,1,0,0,0
FR,1,1,0,0,0,0
FRAF,0,0,1,0,0,0
FRBA,1,0,1,0,0,0
FRD,0,0,1,0,0,0
FRGE,1,0,1,0,0,0
FRHC,1,1,0,0,0,0
FRME,1,0,1,0,0,0
FRMI,0,1,0,0,0,0
FRPH,1,0,1,0,0,0
FRPT,1,1,0,0,0,0
FRSH,1,0,1,0,0,0
FRST,1,0,1,0,0,0
FRT,1,1,0,0,0,0
FSBC,1,0,1,0,0,0
FSBW,1,0,1,0,0,0
FSLR,1,1,0,0,0,0
FSLY,1,0,1,0,0,0
FSP,0,0,1,0,0,0
FSS,1,0,1,0,0,0
FSTR,0,0,1,0,0,0
FSUN,1,0,1,0,0,0
FTAI,1,1,0,0,0,0
FTDR,1,0,1,0,0,0
FTI,1,1,0,0,0,0
FTK,0,0,1,0,0,0
FTLF,0,0,1,0,0,0
FTNT,1,1,0,0,1,0
FTRE,1,0,1,0,0,0
FTV,1,1,0,0,0,0
FUBO,1,0,1,0,0,0
FUL,1,0,1,0,0,0
FULC,1,0,1,0,0,0
FULT,1,0,1,0,0,0
FUN,1,0,1,0,0,0
FUNC,0,0,1,0,0,0
FVCB,0,0,1,0,0,0
FVR,0,0,1,0,0,0
FWONA,1,1,0,0,0,0
FWONK,1,1,0,0,0,0
FWRD,1,0,1,0,0,0
FWRG,1,0,1,0,0,0
FXNC,0,0,1,0,0,0
G,1,1,0,0,0,0
GABC,1,0,1,0,0,0
GAIA,0,0,1,0,0,0
GAMB,0,0,1,0,0,0
GAP,1,1,0,0,0,0
GATX,1,0,1,0,0,0
GBCI,1,0,1,0,0,0
GBFH,0,0,1,0,0,0
GBTG,1,0,1,0,0,0
GBX,1,0,1,0,0,0
GCBC,0,0,1,0,0,0
GCMG,1,0,1,0,0,0
GCO,1,0,1,0,0,0
GCT,1,0,1,0,0,0
GD,1,1,0,0,0,0
GDDY,1,1,0,0,0,0
GDEN,1,0,1,0,0,0
GDOT,1,0,1,0,0,0
GDYN,1,0,1,0,0,0
GE,1,1,0,1,0,0
GEF,1,0,1,0,0,0
GEFB,1,0,1,0,0,0
GEHC,1,1,0,0,1,0
GEN,1,1,0,0,0,0
GENC,0,0,1,0,0,0
GENI,1,0,1,0,0,0
GEO,1,0,1,0,0,0
GERN,1,0,1,0,0,0
GETY,1,0,1,0,0,0
GEV,1,1,0,0,0,0
GEVO,0,0,1,0,0,0
GFF,1,0,1,0,0,0
GFS,1,1,0,0,1,0
GGG,1,1,0,0,0,0
GH,1,0,1,0,0,0
GHC,1,0,1,0,0,0
GHM,1,0,1,0,0,0
GIC,1,0,1,0,0,0
GIII,1,0,1,0,0,0
GILD,1,1,0,1,1,0
GIS,1,1,0,0,0,0
GKOS,1,0,1,0,0,0
GL,1,1,0,0,0,0
GLDD,1,0,1,0,0,0
GLIBA,1,1,0,0,0,0
GLIBK,1,1,0,0,0,0
GLNG,1,0,1,0,0,0
GLOB,1,1,0,0,0,0
GLPI,1,1,0,0,0,0
GLRE,1,0,1,0,0,0
GLSI,0,0,1,0,0,0
GLUE,1,0,1,0,0,0
GLW,1,1,0,0,0,0
GM,1,1,0,0,0,0
GME,1,1,0,0,0,0
GMED,1,1,0,0,0,0
GMGI,0,0,1,0,0,0
GMRE,1,0,1,0,0,0
GNE,1,0,1,0,0,0
GNK,1,0,1,0,0,0
GNL,1,0,1,0,0,0
GNRC,1,1,0,0,0,0
GNTX,1,1,0,0,0,0
GNW,1,0,1,0,0,0
GO,1,0,1,0,0,0
GOCO,0,0,1,0,0,0
GOGO,1,0,1,0,0,0
GOLD,1,0,1,0,0,0
GOLF,1,0,1,0,0,0
GOOD,1,0,1,0,0,0
GOOG,1,1,0,0,0,0
GOOGL,1,1,0,1,1,1
GOSS,1,0,1,0,0,0
GPC,1,1,0,0,0,0
GPGI,1,0,1,0,0,0
GPI,1,0,1,0,0,0
GPK,1,1,0,0,0,0
GPN,1,1,0,0,0,0
GPOR,1,0,1,0,0,0
GPRE,1,0,1,0,0,0
GRAL,1,0,1,0,0,0
GRBK,1,0,1,0,0,0
GRC,1,0,1,0,0,0
GRDN,1,0,1,0,0,0
GRMN,1,1,0,0,0,0
GRND,1,0,1,0,0,0
GRNT,1,0,1,0,0,0
GRPN,1,0,1,0,0,0
GS,1,1,0,1,0,0
GSAT,1,0,1,0,0,0
GSBC,1,0,1,0,0,0
GSHD,1,0,1,0,0,0
GSM,0,0,1,0,0,0
GT,1,0,1,0,0,0
GTES,1,1,0,0,0,0
GTLB,1,1,0,0,0,0
GTLS,1,0,1,0,0,0
GTM,1,1,0,0,0,0
GTN,1,0,1,0,0,0
GTX,1,0,1,0,0,0
GTXI,1,0,1,0,0,0
GTY,1,0,1,0,0,0
GVA,1,0,1,0,0,0
GWRE,1,1,0,0,0,0
GWRS,0,0,1,0,0,0
GWW,1,1,0,0,0,0
GXO,1,1,0,0,0,0
GYRE,0,0,1,0,0,0
H,1,1,0,0,0,0
HAE,1,0,1,0,0,0
HAFC,1,0,1,0,0,0
HAIN,1,0,1,0,0,0
HAL,1,1,0,0,0,0
HALO,1,1,0,0,0,0
HAS,1,1,0,0,0,0
HASI,1,0,1,0,0,0
HAYW,1,1,0,0,0,0
HBAN,1,1,0,0,0,0
HBB,0,0,1,0,0,0
HBCP,1,0,1,0,0,0
HBNC,1,0,1,0,0,0
HBT,1,0,1,0,0,0
HCA,1,1,0,0,0,0
HCAT,1,0,1,0,0,0
HCC,1,0,1,0,0,0
HCI,1,0,1,0,0,0
HCKT,1,0,1,0,0,0
HCSG,1,0,1,0,0,0
HD,1,1,0,1,0,0
HDSN,1,0,1,0,0,0
HE,1,0,1,0,0,0
HEI,1,1,0,0,0,0
HEIA,1,1,0,0,0,0
HELE,1,0,1,0,0,0
HFFG,0,0,1,0,0,0
HFWA,1,0,1,0,0,0
HG,1,0,1,0,0,0
HGV,1,0,1,0,0,0
HHH,1,1,0,0,0,0
HIFS,1,0,1,0,0,0
HIG,1,1,0,0,0,0
HII,1,1,0,0,0,0
HIMS,1,0,1,0,0,0
HIPO,1,0,1,0,0,0
HIW,1,1,0,0,0,0
HL,1,0,1,0,0,0
HLF,1,0,1,0,0,0
HLI,1,1,0,0,0,0
HLIO,1,0,1,0,0,0
HLIT,1,0,1,0,0,0
HLLY,0,0,1,0,0,0
HLMN,1,0,1,0,0,0
HLNE,1,1,0,0,0,0
HLT,1,1,0,0,0,0
HLX,1,0,1,0,0,0
HMN,1,0,1,0,0,0
HNI,1,0,1,0,0,0
HNRG,1,0,1,0,0,0
HNST,1,0,1,0,0,0
HNVR,0,0,1,0,0,0
HOG,1,1,0,0,0,0
HOLX,1,1,0,0,0,0
HOMB,1,0,1,0,0,0
HON,1,1,0,1,1,0
HOOD,1,1,0,0,0,0
HOPE,1,0,1,0,0,0
HOV,1,0,1,0,0,0
HP,1,0,1,0,0,0
HPE,1,1,0,0,0,0
HPK,0,0,1,0,0,0
HPP,1,0,1,0,0,0
HPQ,1,1,0,0,0,0
HQI,0,0,1,0,0,0
HQY,1,0,1,0,0,0
HR,1,1,0,0,0,0
HRB,1,1,0,0,0,0
HRI,1,0,1,0,0,0
HRL,1,1,0,0,0,0
HRMY,1,0,1,0,0,0
HROW,1,0,1,0,0,0
HRTG,1,0,1,0,0,0
HRTX,1,0,1,0,0,0
HSHP,0,0,1,0,0,0
HSIC,1,1,0,0,0,0
HST,1,1,0,0,0,0
HSTM,1,0,1,0,0,0
HSY,1,1,0,0,0,0
HTB,1,0,1,0,0,0
HTBK,1,0,1,0,0,0
HTFL,1,0,1,0,0,0
HTH,1,0,1,0,0,0
HTLD,1,0,1,0,0,0
HTO,1,0,1,0,0,0
HTZ,1,0,1,0,0,0
HUBB,1,1,0,0,0,0
HUBG,1,0,1,0,0,0
HUBS,1,1,0,0,0,0
HUM,1,1,0,0,0,0
HUMA,1,0,1,0,0,0
HUN,1,1,0,0,0,0
HURA,0,0,1,0,0,0
HURN,1,0,1,0,0,0
HUT,1,0,1,0,0,0
HVT,1,0,1,0,0,0
HWBK,0,0,1,0,0,0
HWC,1,0,1,0,0,0
HWKN,1,0,1,0,0,0
HWM,1,1,0,0,0,0
HXL,1,1,0,0,0,0
HY,1,0,1,0,0,0
HYLN,1,0,1,0,0,0
HZO,1,0,1,0,0,0
IAC,1,1,0,0,0,0
IART,1,0,1,0,0,0
IBCP,1,0,1,0,0,0
IBEX,0,0,1,0,0,0
IBKR,1,1,0,0,0,0
IBM,1,1,0,1,0,0
IBOC,1,0,1,0,0,0
IBP,1,0,1,0,0,0
IBRX,1,0,1,0,0,0
IBTA,1,0,1,0,0,0
ICE,1,1,0,1,0,0
ICFI,1,0,1,0,0,0
ICHR,1,0,1,0,0,0
ICUI,1,0,1,0,0,0
IDA,1,1,0,0,0,0
IDCC,1,0,1,0,0,0
IDR,1,0,1,0,0,0
IDT,1,0,1,0,0,0
IDXX,1,1,0,0,1,0
IDYA,1,0,1,0,0,0
IE,1,0,1,0,0,0
IESC,1,0,1,0,0,0
IEX,1,1,0,0,0,0
IFF,1,1,0,0,0,0
IHRT,1,0,1,0,0,0
III,0,0,1,0,0,0
IIIN,1,0,1,0,0,0
IIIV,1,0,1,0,0,0
IIPR,1,0,1,0,0,0
IKT,0,0,1,0,0,0
ILMN,1,1,0,0,1,0
ILPT,1,0,1,0,0,0
IMAX,1,0,1,0,0,0
IMKTA,1,0,1,0,0,0
IMMR,1,0,1,0,0,0
IMNM,1,0,1,0,0,0
IMVT,1,0,1,0,0,0
IMXI,1,0,1,0,0,0
INBK,1,0,1,0,0,0
INBX,1,0,1,0,0,0
INCY,1,1,0,0,0,0
INDB,1,0,1,0,0,0
INDI,1,0,1,0,0,0
INDV,1,0,1,0,0,0
INGM,1,1,0,0,0,0
INGN,1,0,1,0,0,0
INGR,1,1,0,0,0,0
INH,1,0,1,0,0,0
INMB,0,0,1,0,0,0
INN,1,0,1,0,0,0
INNV,0,0,1,0,0,0
INOD,1,0,1,0,0,0
INR,1,0,1,0,0,0
INSE,1,0,1,0,0,0
INSG,0,0,1,0,0,0
INSM,1,1,0,0,0,0
INSP,1,1,0,0,0,0
INSW,1,0,1,0,0,0
INTA,1,0,1,0,0,0
INTC,1,1,0,0,0,0
INTU,1,1,0,1,1,0
INV,0,0,1,0,0,0
INVA,1,0,1,0,0,0
INVH,1,1,0,0,0,0
INVX,1,0,1,0,0,0
IONQ,1,0,1,0,0,0
IONS,1,1,0,0,0,0
IOSP,1,0,1,0,0,0
IOT,1,1,0,0,0,0
IOVA,1,0,1,0,0,0
IP,1,1,0,0,0,0
IPAR,1,0,1,0,0,0
IPGP,1,1,0,0,0,0
IPI,1,0,1,0,0,0
IQV,1,1,0,0,0,0
IR,1,1,0,0,0,0
IRDM,1,1,0,0,0,0
IRM,1,1,0,0,0,0
IRMD,1,0,1,0,0,0
IRON,1,0,1,0,0,0
IRT,1,0,1,0,0,0
IRTC,1,0,1,0,0,0
IRWD,1,0,1,0,0,0
ISPR,0,0,1,0,0,0
ISRG,1,1,0,1,1,0
ISTR,0,0,1,0,0,0
IT,1,1,0,0,0,0
ITGR,1,0,1,0,0,0
ITIC,1,0,1,0,0,0
ITRI,1,0,1,0,0,0
ITT,1,1,0,0,0,0
ITW,1,1,0,0,0,0
IVR,1,0,1,0,0,0
IVT,1,0,1,0,0,0
IVZ,1,1,0,0,0,0
IWM,0,0,0,0,0,1
J,1,1,0,0,0,0
JACK,1,0,1,0,0,0
JAKK,1,0,1,0,0,0
JANX,1,0,1,0,0,0
JAZZ,1,1,0,0,0,0
JBGS,1,0,1,0,0,0
JBHT,1,1,0,0,0,0
JBI,1,0,1,0,0,0
JBIO,1,0,1,0,0,0
JBL,1,1,0,0,0,0
JBLU,1,0,1,0,0,0
JBSS,1,0,1,0,0,0
JBTM,1,0,1,0,0,0
JCAP,0,0,1,0,0,0
JCI,1,1,0,0,0,0
JEF,1,1,0,0,0,0
JELD,1,0,1,0,0,0
JHG,1,1,0,0,0,0
JHX,1,1,0,0,0,0
JILL,0,0,1,0,0,0
JJSF,1,0,1,0,0,0
JKHY,1,1,0,0,0,0
JLL,1,1,0,0,0,0
JMSB,1,0,1,0,0,0
JNJ,1,1,0,1,0,0
JOBY,1,0,1,0,0,0
JOE,1,0,1,0,0,0
JOUT,1,0,1,0,0,0
JPM,1,1,0,1,0,0
JRVR,1,0,1,0,0,0
JXN,1,0,1,0,0,0
JYNT,0,0,1,0,0,0
KAI,1,0,1,0,0,0
KALU,1,0,1,0,0,0
KALV,1,0,1,0,0,0
KBH,1,0,1,0,0,0
KBR,1,1,0,0,0,0
KD,1,1,0,0,0,0
KDP,1,1,0,0,1,0
KE,1,0,1,0,0,0
KELYA,1,0,1,0,0,0
KEX,1,1,0,0,0,0
KEY,1,1,0,0,0,0
KEYS,1,1,0,0,0,0
KFRC,1,0,1,0,0,0
KFS,0,0,1,0,0,0
KFY,1,0,1,0,0,0
KG,0,0,1,0,0,0
KGEI,0,0,1,0,0,0
KGS,1,0,1,0,0,0
KHC,1,1,0,0,0,0
KIDS,1,0,1,0,0,0
KIM,1,1,0,0,0,0
KINS,0,0,1,0,0,0
KKR,1,1,0,0,0,0
KLAC,1,1,0,1,1,0
KLC,1,0,1,0,0,0
KLIC,1,0,1,0,0,0
KLTR,0,0,1,0,0,0
KMB,1,1,0,0,0,0
KMI,1,1,0,0,0,0
KMPR,1,1,0,0,0,0
KMT,1,0,1,0,0,0
KMTS,1,0,1,0,0,0
KMX,1,1,0,0,0,0
KN,1,0,1,0,0,0
KNF,1,0,1,0,0,0
KNSL,1,1,0,0,0,0
KNTK,1,0,1,0,0,0
KNX,1,1,0,0,0,0
KO,1,1,0,1,1,0
KOD,1,0,1,0,0,0
KODK,1,0,1,0,0,0
KOP,1,0,1,0,0,0
KOPN,1,0,1,0,0,0
KOS,1,0,1,0,0,0
KR,1,1,0,0,0,0
KRC,1,1,0,0,0,0
KREF,1,0,1,0,0,0
KRG,1,0,1,0,0,0
KRMD,0,0,1,0,0,0
KRMN,1,1,0,0,0,0
KRNY,1,0,1,0,0,0
KRO,0,0,1,0,0,0
KROS,1,0,1,0,0,0
KRRO,1,0,1,0,0,0
KRT,0,0,1,0,0,0
KRUS,1,0,1,0,0,0
KRYS,1,0,1,0,0,0
KSS,1,0,1,0,0,0
KTB,1,0,1,0,0,0
KTOS,1,0,1,0,0,0
KULR,0,0,1,0,0,0
KURA,1,0,1,0,0,0
KVUE,1,1,0,0,0,0
KW,1,0,1,0,0,0
KWR,1,0,1,0,0,0
KYMR,1,0,1,0,0,0
L,1,1,0,0,0,0
LAB,1,0,1,0,0,0
LAD,1,1,0,0,0,0
LADR,1,0,1,0,0,0
LAKE,0,0,1,0,0,0
LAMR,1,1,0,0,0,0
LAND,1,0,1,0,0,0
LARK,0,0,1,0,0,0
LASR,1,0,1,0,0,0
LAUR,1,0,1,0,0,0
LAW,1,0,1,0,0,0
LAZ,1,1,0,0,0,0
LBRDA,1,1,0,0,0,0
LBRDK,1,1,0,0,0,0
LBRT,1,0,1,0,0,0
LBRX,0,0,1,0,0,0
LBTYA,1,1,0,0,0,0
LBTYK,1,1,0,0,0,0
LC,1,0,1,0,0,0
LCID,1,1,0,0,0,0
LCII,1,0,1,0,0,0
LCNB,0,0,1,0,0,0
LDI,0,0,1,0,0,0
LDOS,1,1,0,0,0,0
LE,0,0,1,0,0,0
LEA,1,1,0,0,0,0
LECO,1,1,0,0,0,0
LEG,1,0,1,0,0,0
LEGH,0,0,1,0,0,0
LEN,1,1,0,0,0,0
LENB,1,1,0,0,0,0
LENZ,1,0,1,0,0,0
LEU,1,0,1,0,0,0
LFCR,0,0,1,0,0,0
LFMD,0,0,1,0,0,0
LFST,1,0,1,0,0,0
LFT,0,0,1,0,0,0
LFUS,1,1,0,0,0,0
LFVN,0,0,1,0,0,0
LGIH,1,0,1,0,0,0
LGN,1,0,1,0,0,0
LGND,1,0,1,0,0,0
LH,1,1,0,0,0,0
LHX,1,1,0,0,0,0
LIF,1,0,1,0,0,0
LII,1,1,0,0,0,0
LILA,1,0,1,0,0,0
LILAK,1,0,1,0,0,0
LIN,1,1,0,1,0,0
LINC,1,0,1,0,0,0
LIND,1,0,1,0,0,0
LINE,1,1,0,0,0,0
LION,1,0,1,0,0,0
LITE,1,1,0,0,0,0
LIVN,1,0,1,0,0,0
LKFN,1,0,1,0,0,0
LKQ,1,1,0,0,0,0
LLY,1,1,0,1,0,0
LLYVA,1,1,0,0,0,0
LLYVK,1,1,0,0,0,0
LMAT,1,0,1,0,0,0
LMB,1,0,1,0,0,0
LMND,1,0,1,0,0,0
LMNR,1,0,1,0,0,0
LMT,1,1,0,1,0,0
LNC,1,1,0,0,0,0
LNG,1,1,0,0,0,0
LNKB,0,0,1,0,0,0
LNN,1,0,1,0,0,0
LNSR,0,0,1,0,0,0
LNT,1,1,0,0,0,0
LNTH,1,0,1,0,0,0
LOAR,1,1,0,0,0,0
LOB,1,0,1,0,0,0
LOCO,1,0,1,0,0,0
LOPE,1,1,0,0,0,0
LOVE,1,0,1,0,0,0
LOW,1,1,0,1,0,0
LPG,1,0,1,0,0,0
LPLA,1,1,0,0,0,0
LPRO,1,0,1,0,0,0
LPX,1,1,0,0,0,0
LQDA,1,0,1,0,0,0
LQDT,1,0,1,0,0,0
LRCX,1,1,0,1,1,0
LRMR,1,0,1,0,0,0
LRN,1,0,1,0,0,0
LSCC,1,1,0,0,0,0
LSTR,1,1,0,0,0,0
LTBR,0,0,1,0,0,0
LTC,1,0,1,0,0,0
LTH,1,0,1,0,0,0
LUCD,0,0,1,0,0,0
LULU,1,1,0,0,1,0
LUMN,1,0,1,0,0,0
LUNG,1,0,1,0,0,0
LUNR,1,0,1,0,0,0
LUV,1,1,0,0,0,0
LVS,1,1,0,0,0,0
LVWR,0,0,1,0,0,0
LW,1,1,0,0,0,0
LWAY,0,0,1,0,0,0
LXEO,1,0,1,0,0,0
LXFR,1,0,1,0,0,0
LXP,1,0,1,0,0,0
LXU,1,0,1,0,0,0
LYB,1,1,0,0,0,0
LYFT,1,1,0,0,0,0
LYTS,1,0,1,0,0,0
LYV,1,1,0,0,0,0
LZ,1,0,1,0,0,0
LZB,1,0,1,0,0,0
LZM,0,0,1,0,0,0
M,1,1,0,0,0,0
MA,1,1,0,1,0,0
MAA,1,1,0,0,0,0
MAC,1,0,1,0,0,0
MAGN,0,0,1,0,0,0
MAMA,1,0,1,0,0,0
MAN,1,1,0,0,0,0
MANH,1,1,0,0,0,0
MAPS,0,0,1,0,0,0
MAR,1,1,0,0,0,0
MARA,1,0,1,0,0,0
MAS,1,1,0,0,0,0
MASI,1,1,0,0,0,0
MASS,1,0,1,0,0,0
MAT,1,1,0,0,0,0
MATV,1,0,1,0,0,0
MATW,1,0,1,0,0,0
MATX,1,0,1,0,0,0
MAX,1,0,1,0,0,0
MAZE,1,0,1,0,0,0
MBC,1,0,1,0,0,0
MBCN,1,0,1,0,0,0
MBI,1,0,1,0,0,0
MBIN,1,0,1,0,0,0
MBUU,1,0,1,0,0,0
MBWM,1,0,1,0,0,0
MBX,1,0,1,0,0,0
MC,1,0,1,0,0,0
MCB,1,0,1,0,0,0
MCBS,1,0,1,0,0,0
MCD,1,1,0,1,0,0
MCFT,1,0,1,0,0,0
MCHB,1,0,1,0,0,0
MCHP,1,1,0,0,1,0
MCK,1,1,0,0,0,0
MCO,1,1,0,1,0,0
MCRI,1,0,1,0,0,0
MCS,1,0,1,0,0,0
MCW,1,0,1,0,0,0
MCY,1,0,1,0,0,0
MD,1,0,1,0,0,0
MDB,1,1,0,0,1,0
MDGL,1,0,1,0,0,0
MDLZ,1,1,0,1,1,0
MDT,1,1,0,1,0,0
MDU,1,1,0,0,0,0
MDV,0,0,1,0,0,0
MDWD,0,0,1,0,0,0
MDXG,1,0,1,0,0,0
MEC,0,0,1,0,0,0
MED,1,0,1,0,0,0
MEDP,1,1,0,0,0,0
MEG,1,0,1,0,0,0
MEI,1,0,1,0,0,0
MET,1,1,0,0,0,0
META,1,1,0,1,1,1
METC,1,0,1,0,0,0
MFA,1,0,1,0,0,0
MFIN,0,0,1,0,0,0
MG,0,0,1,0,0,0
MGEE,1,0,1,0,0,0
MGM,1,1,0,0,0,0
MGNI,1,0,1,0,0,0
MGPI,1,0,1,0,0,0
MGRC,1,0,1,0,0,0
MGTX,1,0,1,0,0,0
